=== AStar_v1_2 alpha/d_ref 参数敏感性分析 ===
时间: 20260831_223134
总耗时: 11.4 秒

--- 实验配置 ---
地图: 杂乱不规则, Map2_kong, 迷宫x80, 迷宫x80_2, 迷宫, Map1
alpha: [0.1, ..., 0.7] (7 级)
d_ref: [0.02, ..., 0.14] (7 级)
重复: 5 次
SimplifyPath: true
SmoothPath: true
热力图路径代价: Simplify+Smooth

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- 杂乱不规则 ---
地图大小: 30, 起点: [3,3], 终点: [28,28], 障碍物: 162
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.6     0.10 |       1504     131.60     118.45        121        373       11.8
     0.6     0.12 |       1500     129.50     117.62        116        332       11.0
     0.6     0.14 |       1614     128.33     116.76        114        335       12.6
     0.7     0.02 |        501     135.01     119.36        124        393        5.0
     0.7     0.04 |        916     131.84     114.65        120        454        7.9
     0.7     0.06 |       1095     129.50     114.65        116        479       10.2
     0.7     0.08 |       1176     128.91     114.65        115        445       10.4
     0.7     0.10 |       1283     131.60     118.45        121        415       10.3
     0.7     0.12 |       1507     131.60     118.45        121        378       14.1
     0.7     0.14 |       1652     131.15     114.65        116        327       12.4

--- 迷宫 ---
地图大小: 30, 起点: [3,3], 终点: [27,21], 障碍物: 155
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |        432      40.63      38.08         35         73        2.9
     0.1     0.04 |        440      40.63      38.08         35         74        3.1
     0.1     0.06 |        444      40.63      38.08         35         73        2.8
     0.1     0.08 |        446      40.63      38.08         35         72        2.6
     0.1     0.10 |        448      40.63      38.08         35         72        3.4
     0.1     0.12 |        451      40.63      38.08         35         71        3.6
     0.1     0.14 |        453      40.63      38.08         35         71        3.2
     0.2     0.02 |        395      40.63      38.08         35         81        2.5
     0.2     0.04 |        417      41.21      38.81         36         88        3.1
     0.2     0.06 |        426      41.21      38.81         36         88        3.8
     0.2     0.08 |        440      41.21      38.81         36         83        2.7
     0.2     0.10 |        443      41.21      38.68         36         81        2.7
     0.2     0.12 |        448      41.21      38.68         36         78        2.6
     0.2     0.14 |        450      41.21      38.68         36         77        2.6
     0.3     0.02 |        336      40.63      38.08         35         94        2.5
     0.3     0.04 |        375      41.21      38.81         36         88        2.5
     0.3     0.06 |        394      41.21      38.81         36         88        2.6
     0.3     0.08 |        409      41.21      38.81         36         90        2.7
     0.3     0.10 |        417      41.21      38.81         36         97        2.6
     0.3     0.12 |        427      41.21      38.81         36         95        2.7
     0.3     0.14 |        434      41.21      38.68         36         88        2.8
     0.4     0.02 |        243      40.63      38.08         35         89        2.0
     0.4     0.04 |        311      41.21      38.81         36         94        2.2
     0.4     0.06 |        344      41.21      38.81         36         95        2.4
     0.4     0.08 |        369      41.21      38.81         36         96        2.6
     0.4     0.10 |        385      41.21      38.81         36         95        2.6
     0.4     0.12 |        400      41.21      38.81         36         91        2.8
     0.4     0.14 |        412      41.21      38.81         36         90        2.6
     0.5     0.02 |        170      40.63      38.08         35         76        1.3
     0.5     0.04 |        227      41.21      38.81         36        101        1.8
     0.5     0.06 |        251      41.21      38.81         36        102        1.8
     0.5     0.08 |        329      41.21      38.81         36         92        2.6
     0.5     0.10 |        343      41.21      38.81         36         97        2.4
     0.5     0.12 |        362      41.21      38.81         36         93        2.5
     0.5     0.14 |        380      41.21      38.81         36         94        2.7
     0.6     0.02 |        143      40.63      38.08         35         81        1.2
     0.6     0.04 |        181      41.21      38.81         36         97        1.5
     0.6     0.06 |        223      41.21      38.81         36        107        1.8
     0.6     0.08 |        249      41.21      38.81         36        100        1.8
     0.6     0.10 |        297      41.21      38.81         36         99        2.1
     0.6     0.12 |        338      41.21      38.81         36         94        2.4
     0.6     0.14 |        349      41.21      38.81         36         95        3.3
     0.7     0.02 |        129      40.63      38.08         35         80        1.5
     0.7     0.04 |        149      41.21      38.81         36         81        1.2
     0.7     0.06 |        194      41.21      38.81         36        106        1.5
     0.7     0.08 |        219      41.21      38.81         36        104        1.7
     0.7     0.10 |        247      41.21      38.81         36         99        1.9
     0.7     0.12 |        275      41.21      38.81         36        104        2.0
     0.7     0.14 |        317      41.21      38.81         36         97        2.2

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.1     0.02 |        641      77.11      74.20         69        103        4.2
     0.1     0.04 |        670      76.53      73.53         68        104        4.2
     0.1     0.06 |        701      76.53      73.53         68        103        4.3
     0.1     0.08 |        716      76.53      73.53         68         97        4.4
     0.1     0.10 |        728      76.53      73.53         68        103       10.7
     0.1     0.12 |        732      76.53      73.53         68        106        4.2
     0.1     0.14 |        738      76.53      73.53         68        103        4.3
     0.2     0.02 |        426      77.70      74.20         70        150        3.1
     0.2     0.04 |        570      78.28      73.53         71        113        3.9
     0.2     0.06 |        601      77.70      73.53         70        113        4.0
     0.2     0.08 |        622      77.11      73.53         69        109        4.2
     0.2     0.10 |        682      77.11      73.53         69        100        4.4
     0.2     0.12 |        680      76.53      73.53         68        105        4.3
     0.2     0.14 |        697      76.53      73.53         68        104        4.3
     0.3     0.02 |        291      79.36      74.20         70        164        2.4
     0.3     0.04 |        426      79.11      73.53         71        159        3.1
     0.3     0.06 |        554      79.11      73.53         71        123        4.0
     0.3     0.08 |        583      78.28      73.53         71        122        4.0
     0.3     0.10 |        612      78.28      73.53         71        109        3.8
     0.3     0.12 |        602      77.11      73.53         69        112        3.8
     0.3     0.14 |        633      77.11      73.53         69        115        4.3
     0.4     0.02 |        244      79.94      73.70         71        184        2.2
     0.4     0.04 |        299      79.70      73.04         72        192        2.5
     0.4     0.06 |        411      79.11      73.53         71        176        3.4
     0.4     0.08 |        498      79.11      73.53         71        142        3.6
     0.4     0.10 |        545      78.28      73.53         71        129        3.6
     0.4     0.12 |        583      78.28      73.53         71        122        4.0
     0.4     0.14 |        609      78.28      73.53         71        116        4.3
     0.5     0.02 |        206      80.28      73.04         73        192        2.3
     0.5     0.04 |        255      79.70      73.04         72        214        2.4
     0.5     0.06 |        328      79.70      73.04         72        194        2.6
     0.5     0.08 |        432      79.70      73.04         72        176        3.4
     0.5     0.10 |        479      79.11      73.53         71        154        4.3
     0.5     0.12 |        551      79.11      73.53         71        133        3.7
     0.5     0.14 |        557      78.28      73.53         71        125        3.7
     0.6     0.02 |        207      83.11      73.70         75        205        2.1
     0.6     0.04 |        263      79.70      73.04         72        233        2.5
     0.6     0.06 |        265      79.70      73.04         72        220        2.3
     0.6     0.08 |        341      79.70      73.04         72        196        2.9
     0.6     0.10 |        423      79.70      73.04         72        180        3.5
     0.6     0.12 |        474      79.11      73.53         71        160        3.6
     0.6     0.14 |        529      79.11      73.53         71        144        3.8
     0.7     0.02 |        225      83.11      73.70         75        201        2.3
     0.7     0.04 |        267      79.46      73.04         73        236        2.7
     0.7     0.06 |        277      79.70      73.04         72        236        3.2
     0.7     0.08 |        274      79.70      73.04         72        221        2.5
     0.7     0.10 |        373      79.70      73.04         72        198        3.1
     0.7     0.12 |        420      79.70      73.04         72        182        3.6
     0.7     0.14 |        456      79.11      73.53         71        172        3.4

