=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_164948
总耗时: 2.3 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.6     0.08 |        259      40.63      40.63         35        102        4.4
     0.6     0.10 |        277      40.63      40.63         35         95        4.4
     0.6     0.12 |        337      40.63      40.63         35         91        5.4
     0.6     0.15 |        365      40.63      40.63         35         89        5.8
     0.7     0.00 |        115      40.63      40.63         35         81        2.5
     0.7     0.02 |        141      40.63      40.63         35         75        2.6
     0.7     0.04 |        173      40.63      40.63         35         82        3.3
     0.7     0.06 |        195      40.63      40.63         35         91        3.5
     0.7     0.08 |        223      40.63      40.63         35         89       13.4
     0.7     0.10 |        259      40.63      40.63         35        101       11.2
     0.7     0.12 |        271      40.63      40.63         35         96        5.3
     0.7     0.15 |        321      40.63      40.63         35         91        5.2
     0.8     0.00 |        102      40.63      40.63         35         89        6.2
     0.8     0.02 |        128      40.63      40.63         35         77        2.9
     0.8     0.04 |        149      40.63      40.63         35         82        2.5
     0.8     0.06 |        186      40.63      40.63         35         90        2.8
     0.8     0.08 |        203      40.63      40.63         35         96        3.2
     0.8     0.10 |        226      40.63      40.63         35         90        3.7
     0.8     0.12 |        241      40.63      40.63         35         93        3.7
     0.8     0.15 |        278      40.63      40.63         35         94        4.3

